x   y 
0.177044 0.00709221
0.177794 0.00704171
0.178545 0.00763701
0.179295 0.00827077
0.180045 0.00816007
0.180795 0.00816266
0.181545 0.00912763
0.182296 0.010652
0.183046 0.0105533
0.183796 0.0103388
0.184546 0.0110438
0.185296 0.0116799
0.186047 0.0111773
0.186797 0.0121131
0.187547 0.0118976
0.188297 0.0105042
0.189047 0.0112193
0.189797 0.0106531
0.190548 0.00880362
0.191298 0.00800693
0.192048 0.0059986
0.192798 0.00588421
0.193548 0.00591487
0.194299 0.0069531
0.195049 0.0077553
0.195799 0.00798804
0.196549 0.00898283
0.197299 0.00898689
0.19805 0.0088204
0.1988 0.00954252
0.19955 0.00942013
0.2003 0.00872866
0.20105 0.00841829
0.2018 0.00704057
0.202551 0.00626209
0.203301 0.00596379
0.204051 0.00504656
0.204801 0.00621124
0.205551 0.00586004
0.206302 0.00641436
0.207052 0.00631012
0.207802 0.00549986
0.208552 0.00686031
0.209302 0.00865907
0.210053 0.00897057
0.210803 0.00908125
0.211553 0.00803543
0.212303 0.00569816
0.213053 0.00311206
0.213803 0.00227119
0.214554 0.000583587
0.215304 7.44012e-05
0.216054 0.000647006
0.216804 0.00071843
0.217554 0.00268276
0.218305 0.00301667
0.219055 0.0037022
0.219805 0.00192806
0.220555 0.00140081
0.221305 0.00124769
0.222056 0.00232843
0.222806 0.00205836
0.223556 0.00102475
0.224306 0.000595466
0.225056 -0.000280749
0.225806 -0.00176669
0.226557 0.000418627
0.227307 0.00101292
0.228057 0.00152949
0.228807 0.00223067
0.229557 0.00378408
0.230308 0.00190688
0.231058 0.00149817
0.231808 0.00352618
0.232558 0.00482874
0.233308 0.00779507
0.234059 0.00820482
0.234809 0.00818544
0.235559 0.00854906
0.236309 0.0076794
0.237059 0.00738202
0.237809 0.0073422
0.23856 0.00595411
0.23931 0.00533354
0.24006 0.00492529
0.24081 0.00648662
0.24156 0.00671932
0.242311 0.00697216
0.243061 0.00824767
0.243811 0.00936417
0.244561 0.0108785
0.245311 0.0100911
0.246062 0.0104662
0.246812 0.0103434
0.247562 0.00951028
0.248312 0.010507
0.249062 0.00988787
0.249812 0.00912554
0.250563 0.00950396
0.251313 0.00905105
0.252063 0.00774538
0.252813 0.00735735
0.253563 0.00711391
0.254314 0.00805194
0.255064 0.00840518
0.255814 0.008668
0.256564 0.00744905
0.257314 0.00777386
0.258065 0.00728487
0.258815 0.00640301
0.259565 0.00699675
0.260315 0.00659991
0.261065 0.00864368
0.261815 0.00943838
0.262566 0.00903298
0.263316 0.00623785
0.264066 0.00667812
0.264816 0.00598019
0.265566 0.00637575
0.266317 0.00552707
0.267067 0.00507504
0.267817 0.00271633
0.268567 0.00288824
0.269317 0.00156944
0.270068 0.000739738
0.270818 0.000303785
0.271568 0.000920628
0.272318 0.00255029
0.273068 -0.000211003
0.273818 -0.00203315
0.274569 -0.00243166
0.275319 -0.00261787
0.276069 -0.00140715
0.276819 -0.00367569
0.277569 -0.00388783
0.27832 -0.00226013
0.27907 -0.00238311
0.27982 -0.000865362
0.28057 0.00124527
0.28132 0.0014296
0.282071 -0.000429532
0.282821 -0.00113237
0.283571 -0.00186948
0.284321 -0.0027766
0.285071 -0.00249088
0.285821 -0.00323378
0.286572 -0.00322992
0.287322 -0.00542699
0.288072 -0.00435202
0.288822 -0.00466113
0.289572 -0.00569107
0.290323 -0.00520905
0.291073 -0.00657301
0.291823 -0.00665972
0.292573 -0.00787025
0.293323 -0.00899947
0.294074 -0.00920778
0.294824 -0.00881243
0.295574 -0.00852154
0.296324 -0.00902466
